pocket,title,authors,year,arxiv_id,url,source
evaluacion_experimental,"Yes, But Not Always. Generative AI Needs Nuanced Opt-in","Wiebke Hutiri, Morgan Scheuerman, Shruti Nagpal",2026,2604.09413v1,https://arxiv.org/abs/2604.09413v1,arXiv
evaluacion_experimental,Insights from Farmer-Managed Decentralized Solar Irrigation Systems,"Arnab Paul Choudhury, Rahul Rathod, Aryan Yadav",2026,2604.09395v1,https://arxiv.org/abs/2604.09395v1,arXiv
evaluacion_experimental,Artificial intelligence can persuade people to take political actions,"Kobi Hackenburg, Luke Hewitt, Caroline Wagner",2026,2604.09200v1,https://arxiv.org/abs/2604.09200v1,arXiv
evaluacion_experimental,Scheming in the wild: detecting real-world AI scheming incidents with open-source intelligence,"Tommy Shaffer Shane, Simon Mylius, Hamish Hobbs",2026,2604.09104v1,https://arxiv.org/abs/2604.09104v1,arXiv
evaluacion_experimental,Scrapyard AI,"Marc Böhlen, Sai Krishna",2026,2604.08803v1,https://arxiv.org/abs/2604.08803v1,arXiv
evaluacion_experimental,Communicate-Predict-Act: Evaluating Social Intelligence of Agents,"David Shoresh, Sarit Kraus, Yonatan Loewenstein",2026,2604.08727v1,https://arxiv.org/abs/2604.08727v1,arXiv
evaluacion_experimental,Ads in AI Chatbots? An Analysis of How Large Language Models Navigate Conflicts of Interest,"Addison J. Wu, Ryan Liu, Shuyue Stella Li",2026,2604.08525v1,https://arxiv.org/abs/2604.08525v1,arXiv
evaluacion_experimental,From Safety Risk to Design Principle: Peer-Preservation in Multi-Agent LLM Systems and Its Implications for Orchestrated Democratic Discourse Analysis,Juergen Dietrich,2026,2604.08465v1,https://arxiv.org/abs/2604.08465v1,arXiv
evaluacion_experimental,Navigating Turbulence: The Challenge of Inclusive Innovation in the U.S.-China AI Race,"Jyh-An Lee, Jingwen Liu",2026,2604.08353v1,https://arxiv.org/abs/2604.08353v1,arXiv
evaluacion_experimental,Co-design for Trustworthy AI: An Interpretable and Explainable Tool for Type 2 Diabetes Prediction Using Genomic Polygenic Risk Scores,"Ralf Beuthan, Megan Coffee, Heejin Kim",2026,2604.08217v1,https://arxiv.org/abs/2604.08217v1,arXiv
evaluacion_experimental,Decision Trace Schema for Governance Evidence in Real-Time Risk Systems,Oleg Solozobov,2026,2604.09296v1,https://arxiv.org/abs/2604.09296v1,arXiv
evaluacion_experimental,Creator Incentives in Recommender Systems: A Cooperative Game-Theoretic Approach for Stable and Fair Collaboration in Multi-Agent Bandits,"Ramakrishnan Krishnamurthy, Arpit Agarwal, Lakshminarayanan Subramanian",2026,2604.08643v1,https://arxiv.org/abs/2604.08643v1,arXiv
evaluacion_experimental,Towards Generalizable Representations of Mathematical Strategies,"Siddhartha Pradhan, Ethan Prihar, Erin Ottmar",2026,2604.08693v1,https://arxiv.org/abs/2604.08693v1,arXiv
evaluacion_experimental,Twitch Third-Party Developers' Support Seeking and Provision Practices on Discord,"Jie Cai, He Zhang, Yueyan Liu",2026,2604.07732v1,https://arxiv.org/abs/2604.07732v1,arXiv
evaluacion_experimental,The Need for a Green ICT Reference Framework,"Marco Aiello, Mina Alipour, Antonio Brogi",2026,2604.09307v1,https://arxiv.org/abs/2604.09307v1,arXiv
human_machine_interaction,"Yes, But Not Always. Generative AI Needs Nuanced Opt-in","Wiebke Hutiri, Morgan Scheuerman, Shruti Nagpal",2026,2604.09413v1,https://arxiv.org/abs/2604.09413v1,arXiv
human_machine_interaction,Insights from Farmer-Managed Decentralized Solar Irrigation Systems,"Arnab Paul Choudhury, Rahul Rathod, Aryan Yadav",2026,2604.09395v1,https://arxiv.org/abs/2604.09395v1,arXiv
human_machine_interaction,Decision Trace Schema for Governance Evidence in Real-Time Risk Systems,Oleg Solozobov,2026,2604.09296v1,https://arxiv.org/abs/2604.09296v1,arXiv
human_machine_interaction,Artificial intelligence can persuade people to take political actions,"Kobi Hackenburg, Luke Hewitt, Caroline Wagner",2026,2604.09200v1,https://arxiv.org/abs/2604.09200v1,arXiv
human_machine_interaction,Scheming in the wild: detecting real-world AI scheming incidents with open-source intelligence,"Tommy Shaffer Shane, Simon Mylius, Hamish Hobbs",2026,2604.09104v1,https://arxiv.org/abs/2604.09104v1,arXiv
human_machine_interaction,Scrapyard AI,"Marc Böhlen, Sai Krishna",2026,2604.08803v1,https://arxiv.org/abs/2604.08803v1,arXiv
human_machine_interaction,Communicate-Predict-Act: Evaluating Social Intelligence of Agents,"David Shoresh, Sarit Kraus, Yonatan Loewenstein",2026,2604.08727v1,https://arxiv.org/abs/2604.08727v1,arXiv
human_machine_interaction,Towards Generalizable Representations of Mathematical Strategies,"Siddhartha Pradhan, Ethan Prihar, Erin Ottmar",2026,2604.08693v1,https://arxiv.org/abs/2604.08693v1,arXiv
human_machine_interaction,Ads in AI Chatbots? An Analysis of How Large Language Models Navigate Conflicts of Interest,"Addison J. Wu, Ryan Liu, Shuyue Stella Li",2026,2604.08525v1,https://arxiv.org/abs/2604.08525v1,arXiv
human_machine_interaction,Creator Incentives in Recommender Systems: A Cooperative Game-Theoretic Approach for Stable and Fair Collaboration in Multi-Agent Bandits,"Ramakrishnan Krishnamurthy, Arpit Agarwal, Lakshminarayanan Subramanian",2026,2604.08643v1,https://arxiv.org/abs/2604.08643v1,arXiv
human_machine_interaction,From Safety Risk to Design Principle: Peer-Preservation in Multi-Agent LLM Systems and Its Implications for Orchestrated Democratic Discourse Analysis,Juergen Dietrich,2026,2604.08465v1,https://arxiv.org/abs/2604.08465v1,arXiv
human_machine_interaction,Navigating Turbulence: The Challenge of Inclusive Innovation in the U.S.-China AI Race,"Jyh-An Lee, Jingwen Liu",2026,2604.08353v1,https://arxiv.org/abs/2604.08353v1,arXiv
human_machine_interaction,Co-design for Trustworthy AI: An Interpretable and Explainable Tool for Type 2 Diabetes Prediction Using Genomic Polygenic Risk Scores,"Ralf Beuthan, Megan Coffee, Heejin Kim",2026,2604.08217v1,https://arxiv.org/abs/2604.08217v1,arXiv
innovacion_difusion,"Yes, But Not Always. Generative AI Needs Nuanced Opt-in","Wiebke Hutiri, Morgan Scheuerman, Shruti Nagpal",2026,2604.09413v1,https://arxiv.org/abs/2604.09413v1,arXiv
innovacion_difusion,Decision Trace Schema for Governance Evidence in Real-Time Risk Systems,Oleg Solozobov,2026,2604.09296v1,https://arxiv.org/abs/2604.09296v1,arXiv
innovacion_difusion,Artificial intelligence can persuade people to take political actions,"Kobi Hackenburg, Luke Hewitt, Caroline Wagner",2026,2604.09200v1,https://arxiv.org/abs/2604.09200v1,arXiv
innovacion_difusion,Scheming in the wild: detecting real-world AI scheming incidents with open-source intelligence,"Tommy Shaffer Shane, Simon Mylius, Hamish Hobbs",2026,2604.09104v1,https://arxiv.org/abs/2604.09104v1,arXiv
innovacion_difusion,Scrapyard AI,"Marc Böhlen, Sai Krishna",2026,2604.08803v1,https://arxiv.org/abs/2604.08803v1,arXiv
innovacion_difusion,Ads in AI Chatbots? An Analysis of How Large Language Models Navigate Conflicts of Interest,"Addison J. Wu, Ryan Liu, Shuyue Stella Li",2026,2604.08525v1,https://arxiv.org/abs/2604.08525v1,arXiv
innovacion_difusion,From Safety Risk to Design Principle: Peer-Preservation in Multi-Agent LLM Systems and Its Implications for Orchestrated Democratic Discourse Analysis,Juergen Dietrich,2026,2604.08465v1,https://arxiv.org/abs/2604.08465v1,arXiv
innovacion_difusion,Navigating Turbulence: The Challenge of Inclusive Innovation in the U.S.-China AI Race,"Jyh-An Lee, Jingwen Liu",2026,2604.08353v1,https://arxiv.org/abs/2604.08353v1,arXiv
innovacion_difusion,Co-design for Trustworthy AI: An Interpretable and Explainable Tool for Type 2 Diabetes Prediction Using Genomic Polygenic Risk Scores,"Ralf Beuthan, Megan Coffee, Heejin Kim",2026,2604.08217v1,https://arxiv.org/abs/2604.08217v1,arXiv
innovacion_difusion,"The Sustainability Gap in Robotics: A Large-Scale Survey of Sustainability Awareness in 50,000 Research Articles","Antun Skuric, Leandro Von Werra, Thomas Wolf",2026,2604.07921v1,https://arxiv.org/abs/2604.07921v1,arXiv
innovacion_difusion,Insights from Farmer-Managed Decentralized Solar Irrigation Systems,"Arnab Paul Choudhury, Rahul Rathod, Aryan Yadav",2026,2604.09395v1,https://arxiv.org/abs/2604.09395v1,arXiv
innovacion_difusion,We Need Strong Preconditions For Using Simulations In Policy,"Steven Luo, Saanvi Arora, Carlos Guirado",2026,2604.07838v1,https://arxiv.org/abs/2604.07838v1,arXiv
innovacion_difusion,The Weaponization of Computer Vision: Tracing Military-Surveillance Ties through Conference Sponsorship,"Noa Garcia, Amelia Katirai",2026,2604.07803v1,https://arxiv.org/abs/2604.07803v1,arXiv
innovacion_difusion,"Google, AI Literacy, and the Learning Sciences: Multiple Modes of Research, Industry, and Practice Partnerships","Victor R. Lee, Michael Madaio, Ben Garside",2026,2604.07601v1,https://arxiv.org/abs/2604.07601v1,arXiv
innovacion_difusion,"PRISM: Evaluating a Rule-Based, Scenario-Driven Social Media Privacy Education Program for Young Autistic Adults","Kirsten Chapman, Garrett Smith, Kaitlyn Klabacka",2026,2604.07531v1,https://arxiv.org/abs/2604.07531v1,arXiv
innovacion_difusion,The Shrinking Lifespan of LLMs in Science,Ana Trišović,2026,2604.07530v1,https://arxiv.org/abs/2604.07530v1,arXiv
innovacion_difusion,Mapping Child Malnutrition and Measuring Efficiency of Community Healthcare Workers through Location Based Games in India,"Arka Majhi, Aparajita Mondal, Satish B. Agnihotri",2026,2604.07299v1,https://arxiv.org/abs/2604.07299v1,arXiv
innovacion_difusion,"Why teaching resists automation in an AI-inundated era: Human judgment, non-modular work, and the limits of delegation",Songhee Han,2026,2604.07285v1,https://arxiv.org/abs/2604.07285v1,arXiv
innovacion_difusion,The Rhetoric of Machine Learning,Robert C. Williamson,2026,2604.06754v1,https://arxiv.org/abs/2604.06754v1,arXiv
labor,"Yes, But Not Always. Generative AI Needs Nuanced Opt-in","Wiebke Hutiri, Morgan Scheuerman, Shruti Nagpal",2026,2604.09413v1,https://arxiv.org/abs/2604.09413v1,arXiv
labor,The Need for a Green ICT Reference Framework,"Marco Aiello, Mina Alipour, Antonio Brogi",2026,2604.09307v1,https://arxiv.org/abs/2604.09307v1,arXiv
labor,Artificial intelligence can persuade people to take political actions,"Kobi Hackenburg, Luke Hewitt, Caroline Wagner",2026,2604.09200v1,https://arxiv.org/abs/2604.09200v1,arXiv
labor,Scheming in the wild: detecting real-world AI scheming incidents with open-source intelligence,"Tommy Shaffer Shane, Simon Mylius, Hamish Hobbs",2026,2604.09104v1,https://arxiv.org/abs/2604.09104v1,arXiv
labor,Scrapyard AI,"Marc Böhlen, Sai Krishna",2026,2604.08803v1,https://arxiv.org/abs/2604.08803v1,arXiv
labor,Towards Generalizable Representations of Mathematical Strategies,"Siddhartha Pradhan, Ethan Prihar, Erin Ottmar",2026,2604.08693v1,https://arxiv.org/abs/2604.08693v1,arXiv
labor,Ads in AI Chatbots? An Analysis of How Large Language Models Navigate Conflicts of Interest,"Addison J. Wu, Ryan Liu, Shuyue Stella Li",2026,2604.08525v1,https://arxiv.org/abs/2604.08525v1,arXiv
labor,From Safety Risk to Design Principle: Peer-Preservation in Multi-Agent LLM Systems and Its Implications for Orchestrated Democratic Discourse Analysis,Juergen Dietrich,2026,2604.08465v1,https://arxiv.org/abs/2604.08465v1,arXiv
labor,Navigating Turbulence: The Challenge of Inclusive Innovation in the U.S.-China AI Race,"Jyh-An Lee, Jingwen Liu",2026,2604.08353v1,https://arxiv.org/abs/2604.08353v1,arXiv
labor,The Statistical Profitability of Social Media Sports Betting Influencers: Evidence from the Nigerian Market,"Kayode Makinde, Oluwatimileyin Onasanya, Frances Adelakun",2026,2604.08251v1,https://arxiv.org/abs/2604.08251v1,arXiv
labor,Insights from Farmer-Managed Decentralized Solar Irrigation Systems,"Arnab Paul Choudhury, Rahul Rathod, Aryan Yadav",2026,2604.09395v1,https://arxiv.org/abs/2604.09395v1,arXiv
labor,Decision Trace Schema for Governance Evidence in Real-Time Risk Systems,Oleg Solozobov,2026,2604.09296v1,https://arxiv.org/abs/2604.09296v1,arXiv
labor,Co-design for Trustworthy AI: An Interpretable and Explainable Tool for Type 2 Diabetes Prediction Using Genomic Polygenic Risk Scores,"Ralf Beuthan, Megan Coffee, Heejin Kim",2026,2604.08217v1,https://arxiv.org/abs/2604.08217v1,arXiv
labor,The Weaponization of Computer Vision: Tracing Military-Surveillance Ties through Conference Sponsorship,"Noa Garcia, Amelia Katirai",2026,2604.07803v1,https://arxiv.org/abs/2604.07803v1,arXiv
labor,We Need Strong Preconditions For Using Simulations In Policy,"Steven Luo, Saanvi Arora, Carlos Guirado",2026,2604.07838v1,https://arxiv.org/abs/2604.07838v1,arXiv
desigualdad,"Yes, But Not Always. Generative AI Needs Nuanced Opt-in","Wiebke Hutiri, Morgan Scheuerman, Shruti Nagpal",2026,2604.09413v1,https://arxiv.org/abs/2604.09413v1,arXiv
desigualdad,Insights from Farmer-Managed Decentralized Solar Irrigation Systems,"Arnab Paul Choudhury, Rahul Rathod, Aryan Yadav",2026,2604.09395v1,https://arxiv.org/abs/2604.09395v1,arXiv
desigualdad,Decision Trace Schema for Governance Evidence in Real-Time Risk Systems,Oleg Solozobov,2026,2604.09296v1,https://arxiv.org/abs/2604.09296v1,arXiv
desigualdad,Artificial intelligence can persuade people to take political actions,"Kobi Hackenburg, Luke Hewitt, Caroline Wagner",2026,2604.09200v1,https://arxiv.org/abs/2604.09200v1,arXiv
desigualdad,Scheming in the wild: detecting real-world AI scheming incidents with open-source intelligence,"Tommy Shaffer Shane, Simon Mylius, Hamish Hobbs",2026,2604.09104v1,https://arxiv.org/abs/2604.09104v1,arXiv
desigualdad,Scrapyard AI,"Marc Böhlen, Sai Krishna",2026,2604.08803v1,https://arxiv.org/abs/2604.08803v1,arXiv
desigualdad,Ads in AI Chatbots? An Analysis of How Large Language Models Navigate Conflicts of Interest,"Addison J. Wu, Ryan Liu, Shuyue Stella Li",2026,2604.08525v1,https://arxiv.org/abs/2604.08525v1,arXiv
desigualdad,From Safety Risk to Design Principle: Peer-Preservation in Multi-Agent LLM Systems and Its Implications for Orchestrated Democratic Discourse Analysis,Juergen Dietrich,2026,2604.08465v1,https://arxiv.org/abs/2604.08465v1,arXiv
desigualdad,Navigating Turbulence: The Challenge of Inclusive Innovation in the U.S.-China AI Race,"Jyh-An Lee, Jingwen Liu",2026,2604.08353v1,https://arxiv.org/abs/2604.08353v1,arXiv
desigualdad,Co-design for Trustworthy AI: An Interpretable and Explainable Tool for Type 2 Diabetes Prediction Using Genomic Polygenic Risk Scores,"Ralf Beuthan, Megan Coffee, Heejin Kim",2026,2604.08217v1,https://arxiv.org/abs/2604.08217v1,arXiv
desigualdad,The Weaponization of Computer Vision: Tracing Military-Surveillance Ties through Conference Sponsorship,"Noa Garcia, Amelia Katirai",2026,2604.07803v1,https://arxiv.org/abs/2604.07803v1,arXiv
desigualdad,"The Sustainability Gap in Robotics: A Large-Scale Survey of Sustainability Awareness in 50,000 Research Articles","Antun Skuric, Leandro Von Werra, Thomas Wolf",2026,2604.07921v1,https://arxiv.org/abs/2604.07921v1,arXiv
desigualdad,"Doctoral Theses in France (1985-2025): A Linked Dataset of PhDs, Academic Networks, and Institutions","William Aboucaya, Dastan Jasim",2026,2604.08619v1,https://arxiv.org/abs/2604.08619v1,arXiv
desigualdad,Towards Generalizable Representations of Mathematical Strategies,"Siddhartha Pradhan, Ethan Prihar, Erin Ottmar",2026,2604.08693v1,https://arxiv.org/abs/2604.08693v1,arXiv
policy,"Yes, But Not Always. Generative AI Needs Nuanced Opt-in","Wiebke Hutiri, Morgan Scheuerman, Shruti Nagpal",2026,2604.09413v1,https://arxiv.org/abs/2604.09413v1,arXiv
policy,The Need for a Green ICT Reference Framework,"Marco Aiello, Mina Alipour, Antonio Brogi",2026,2604.09307v1,https://arxiv.org/abs/2604.09307v1,arXiv
policy,Decision Trace Schema for Governance Evidence in Real-Time Risk Systems,Oleg Solozobov,2026,2604.09296v1,https://arxiv.org/abs/2604.09296v1,arXiv
policy,Artificial intelligence can persuade people to take political actions,"Kobi Hackenburg, Luke Hewitt, Caroline Wagner",2026,2604.09200v1,https://arxiv.org/abs/2604.09200v1,arXiv
policy,Scheming in the wild: detecting real-world AI scheming incidents with open-source intelligence,"Tommy Shaffer Shane, Simon Mylius, Hamish Hobbs",2026,2604.09104v1,https://arxiv.org/abs/2604.09104v1,arXiv
policy,Scrapyard AI,"Marc Böhlen, Sai Krishna",2026,2604.08803v1,https://arxiv.org/abs/2604.08803v1,arXiv
policy,Ads in AI Chatbots? An Analysis of How Large Language Models Navigate Conflicts of Interest,"Addison J. Wu, Ryan Liu, Shuyue Stella Li",2026,2604.08525v1,https://arxiv.org/abs/2604.08525v1,arXiv
policy,From Safety Risk to Design Principle: Peer-Preservation in Multi-Agent LLM Systems and Its Implications for Orchestrated Democratic Discourse Analysis,Juergen Dietrich,2026,2604.08465v1,https://arxiv.org/abs/2604.08465v1,arXiv
policy,Navigating Turbulence: The Challenge of Inclusive Innovation in the U.S.-China AI Race,"Jyh-An Lee, Jingwen Liu",2026,2604.08353v1,https://arxiv.org/abs/2604.08353v1,arXiv
policy,Co-design for Trustworthy AI: An Interpretable and Explainable Tool for Type 2 Diabetes Prediction Using Genomic Polygenic Risk Scores,"Ralf Beuthan, Megan Coffee, Heejin Kim",2026,2604.08217v1,https://arxiv.org/abs/2604.08217v1,arXiv
policy,Insights from Farmer-Managed Decentralized Solar Irrigation Systems,"Arnab Paul Choudhury, Rahul Rathod, Aryan Yadav",2026,2604.09395v1,https://arxiv.org/abs/2604.09395v1,arXiv
policy,Towards Generalizable Representations of Mathematical Strategies,"Siddhartha Pradhan, Ethan Prihar, Erin Ottmar",2026,2604.08693v1,https://arxiv.org/abs/2604.08693v1,arXiv
policy,Communicate-Predict-Act: Evaluating Social Intelligence of Agents,"David Shoresh, Sarit Kraus, Yonatan Loewenstein",2026,2604.08727v1,https://arxiv.org/abs/2604.08727v1,arXiv
management,"Yes, But Not Always. Generative AI Needs Nuanced Opt-in","Wiebke Hutiri, Morgan Scheuerman, Shruti Nagpal",2026,2604.09413v1,https://arxiv.org/abs/2604.09413v1,arXiv
management,Insights from Farmer-Managed Decentralized Solar Irrigation Systems,"Arnab Paul Choudhury, Rahul Rathod, Aryan Yadav",2026,2604.09395v1,https://arxiv.org/abs/2604.09395v1,arXiv
management,Decision Trace Schema for Governance Evidence in Real-Time Risk Systems,Oleg Solozobov,2026,2604.09296v1,https://arxiv.org/abs/2604.09296v1,arXiv
management,Artificial intelligence can persuade people to take political actions,"Kobi Hackenburg, Luke Hewitt, Caroline Wagner",2026,2604.09200v1,https://arxiv.org/abs/2604.09200v1,arXiv
management,Scheming in the wild: detecting real-world AI scheming incidents with open-source intelligence,"Tommy Shaffer Shane, Simon Mylius, Hamish Hobbs",2026,2604.09104v1,https://arxiv.org/abs/2604.09104v1,arXiv
management,Scrapyard AI,"Marc Böhlen, Sai Krishna",2026,2604.08803v1,https://arxiv.org/abs/2604.08803v1,arXiv
management,Towards Generalizable Representations of Mathematical Strategies,"Siddhartha Pradhan, Ethan Prihar, Erin Ottmar",2026,2604.08693v1,https://arxiv.org/abs/2604.08693v1,arXiv
management,Ads in AI Chatbots? An Analysis of How Large Language Models Navigate Conflicts of Interest,"Addison J. Wu, Ryan Liu, Shuyue Stella Li",2026,2604.08525v1,https://arxiv.org/abs/2604.08525v1,arXiv
management,From Safety Risk to Design Principle: Peer-Preservation in Multi-Agent LLM Systems and Its Implications for Orchestrated Democratic Discourse Analysis,Juergen Dietrich,2026,2604.08465v1,https://arxiv.org/abs/2604.08465v1,arXiv
management,Navigating Turbulence: The Challenge of Inclusive Innovation in the U.S.-China AI Race,"Jyh-An Lee, Jingwen Liu",2026,2604.08353v1,https://arxiv.org/abs/2604.08353v1,arXiv
management,Communicate-Predict-Act: Evaluating Social Intelligence of Agents,"David Shoresh, Sarit Kraus, Yonatan Loewenstein",2026,2604.08727v1,https://arxiv.org/abs/2604.08727v1,arXiv
management,Creator Incentives in Recommender Systems: A Cooperative Game-Theoretic Approach for Stable and Fair Collaboration in Multi-Agent Bandits,"Ramakrishnan Krishnamurthy, Arpit Agarwal, Lakshminarayanan Subramanian",2026,2604.08643v1,https://arxiv.org/abs/2604.08643v1,arXiv
management,Co-design for Trustworthy AI: An Interpretable and Explainable Tool for Type 2 Diabetes Prediction Using Genomic Polygenic Risk Scores,"Ralf Beuthan, Megan Coffee, Heejin Kim",2026,2604.08217v1,https://arxiv.org/abs/2604.08217v1,arXiv
management,We Need Strong Preconditions For Using Simulations In Policy,"Steven Luo, Saanvi Arora, Carlos Guirado",2026,2604.07838v1,https://arxiv.org/abs/2604.07838v1,arXiv
management,The Need for a Green ICT Reference Framework,"Marco Aiello, Mina Alipour, Antonio Brogi",2026,2604.09307v1,https://arxiv.org/abs/2604.09307v1,arXiv
